"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"Siliton","Chromie","True","85.3 %                                 Kills57.1 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.8 %                                 Siege100.0 %                                 XP100.0 %","16","4","12","0","00:00:00","77,997","113,641"," ","0","19,608","10,506"
"Ahab","Varian","True","75.4 %                                 Kills100.0 %                                 Teamwork (Takedowns)87.5 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)57.9 %                                 Siege53.5 %                                 XP87.0 %","14","7","7","2","00:01:08","41,765","60,801","15,100","16,592","59,099","9,139"
"Spartan","Muradin","True","73.5 %                                 Kills14.3 %                                 Teamwork (Takedowns)87.5 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege59.4 %                                 XP96.3 %","14","1","13","1","00:00:20","29,711","67,448","30,268","30,133","87,923","10,120"
"Dedalo","Zul'jin","True","65.9 %                                 Kills71.4 %                                 Teamwork (Takedowns)93.8 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)56.3 %                                 Siege62.6 %                                 XP77.8 %","15","5","10","4","00:01:44","51,493","71,083","19,461","19,388","39,510","8,177"
"Logue1021","Brightwing","True","63.8 %                                 Kills28.6 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)71.7 %                                 Siege20.6 %                                 XP61.8 %","16","2","14","0","00:00:00","17,441","23,418","86,956","0","23,178","6,491"
"LastSacred","Kharazim","False","51.4 %                                 Kills42.9 %                                 Teamwork (Takedowns)37.5 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)74.5 %                                 Siege20.4 %                                 XP50.1 %","6","3","3","1","00:00:29","33,108","23,151","57,856","0","41,587","5,268"
"Ramb0ner","Anub'arak","False","44.4 %                                 Kills14.3 %                                 Teamwork (Takedowns)37.5 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)45.1 %                                 Siege43.2 %                                 XP59.7 %","6","1","5","2","00:01:28","23,444","49,131","4,786","21,019","62,245","6,272"
"Kono","Blaze","False","41.0 %                                 Kills28.6 %                                 Teamwork (Takedowns)43.8 %                                 Deaths16.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)37.5 %                                 Siege52.1 %                                 XP67.4 %","7","2","5","5","00:02:57","35,891","59,262","9,700","9,637","57,256","7,076"
"Blinkrider","Sylvanas","False","31.3 %                                 Kills14.3 %                                 Teamwork (Takedowns)31.3 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)32.5 %                                 Siege44.8 %                                 XP65.2 %","5","1","4","6","00:03:14","51,004","50,878"," ","1,305","33,669","6,850"
"DioBrando","Alarak","False","30.2 %                                 Kills0.0 %                                 Teamwork (Takedowns)25.0 %                                 Deaths16.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)37.0 %                                 Siege49.1 %                                 XP53.6 %","4","0","4","5","00:02:27","36,029","55,752","10,748","10,724","41,747","5,627"
