ReplayID,Map Name,Length,Hero,Lvl,Result,Date and Time (UTC),Share Replay
160561175,Volskaya Foundry,00:18:22,Azmodan,19,1,11/14/2018 3:25:41 PM, 
160483925,Battlefield of Eternity,00:21:02,Kharazim,20,1,11/12/2018 9:47:31 PM, 
160455820,Infernal Shrines,00:19:48,Brightwing,20,0,11/12/2018 9:19:54 PM, 
160455827,Sky Temple,00:23:54,Li Li,20,0,11/12/2018 8:47:19 PM, 
160455830,Cursed Hollow,00:21:17,Li Li,20,1,11/12/2018 8:12:42 PM, 
160430190,Tomb of the Spider Queen,00:17:06,Li Li,20,1,11/12/2018 7:40:02 PM, 
160417241,Towers of Doom,00:26:09,Azmodan,19,0,11/12/2018 4:19:36 PM, 
160415189,Sky Temple,00:19:25,Kharazim,20,0,11/12/2018 3:43:58 PM, 
160413596,Volskaya Foundry,00:29:06,Johanna,6,0,11/12/2018 3:16:00 PM, 
160380962,Alterac Pass,00:23:57,Johanna,6,0,11/12/2018 3:33:38 AM, 
160379775,Braxis Holdout,00:19:09,Li Li,20,0,11/12/2018 2:55:31 AM, 
160356067,Towers of Doom,00:14:22,Kharazim,20,1,11/11/2018 7:15:21 PM, 
160354499,Tomb of the Spider Queen,00:19:57,Mal'Ganis,7,1,11/11/2018 6:50:14 PM, 
160352356,Dragon Shire,00:20:28,Li Li,20,0,11/11/2018 6:22:12 PM, 
160210840,Infernal Shrines,00:21:00,Li Li,20,1,11/9/2018 9:00:21 PM, 
160208463,Alterac Pass,00:26:06,Li Li,20,1,11/9/2018 8:29:32 PM, 
160197743,Volskaya Foundry,00:16:58,Li Li,20,0,11/9/2018 4:26:42 PM, 
160206257,Battlefield of Eternity,00:11:11,Probius,9,1,11/9/2018 3:59:05 PM, 
160206253,Infernal Shrines,00:24:25,Probius,9,0,11/9/2018 3:27:32 PM, 
160191364,Sky Temple,00:18:58,Anub'arak,20,0,11/9/2018 2:53:02 PM, 
160189302,Volskaya Foundry,00:18:36,Probius,9,1,11/9/2018 2:25:12 PM, 
160145957,Cursed Hollow,00:19:38,Mal'Ganis,7,1,11/8/2018 9:25:53 PM, 
160142838,Alterac Pass,00:26:39,Sonya,14,0,11/8/2018 8:40:37 PM, 
160140128,Battlefield of Eternity,00:22:13,Probius,8,0,11/8/2018 8:01:29 PM, 
160129967,Dragon Shire,00:22:36,Kharazim,20,0,11/8/2018 4:45:22 PM, 
160125046,Braxis Holdout,00:14:33,Johanna,6,0,11/8/2018 3:28:01 PM, 
160123475,Battlefield of Eternity,00:27:02,Li Li,20,1,11/8/2018 3:01:34 PM, 
160077604,Cursed Hollow,00:17:10,Brightwing,20,1,11/7/2018 9:52:14 PM, 
160074558,Towers of Doom,00:15:35,Probius,8,0,11/7/2018 9:14:26 PM, 
160073048,Volskaya Foundry,00:29:51,Probius,8,0,11/7/2018 8:47:46 PM, 
160061145,Cursed Hollow,00:25:24,Probius,8,1,11/7/2018 4:44:53 PM, 
160059379,Sky Temple,00:19:10,Johanna,6,1,11/7/2018 4:02:27 PM, 
160057904,Towers of Doom,00:16:58,Mal'Ganis,6,1,11/7/2018 3:23:13 PM, 
