"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"Andrew","Arthas","True","86.4 %                                 Kills100.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)96.1 %                                 Siege58.6 %                                 XP63.8 %","6","3","3","0","00:00:00","25,835","67,368","16,461","16,439","68,829","7,494"
"LastSacred","Azmodan","True","76.9 %                                 Kills66.7 %                                 Teamwork (Takedowns)100.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)44.9 %                                 Siege100.0 %                                 XP100.0 %","6","2","4","1","00:00:26","34,805","114,944"," ","0","24,846","11,743"
"cerebralZ","Anub'arak","True","69.5 %                                 Kills33.3 %                                 Teamwork (Takedowns)100.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)99.0 %                                 Siege54.8 %                                 XP79.8 %","6","1","5","1","00:00:24","40,388","62,977","2,810","22,170","66,133","9,375"
"soultime","Li Li","True","59.7 %                                 Kills0.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)89.8 %                                 Siege18.3 %                                 XP49.8 %","6","0","6","0","00:00:00","16,952","21,052","83,060","0","19,238","5,853"
"skinnypete","Kel'Thuzad","True","58.0 %                                 Kills33.3 %                                 Teamwork (Takedowns)83.3 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.0 %                                 Siege74.4 %                                 XP52.7 %","5","1","4","1","00:00:40","39,900","85,552"," ","3,832","27,914","6,188"
"Omlettuce","Li-Ming","False","54.2 %                                 Kills33.3 %                                 Teamwork (Takedowns)50.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)52.0 %                                 Siege79.5 %                                 XP60.5 %","3","1","2","1","00:00:23","46,546","91,396"," ","0","22,561","7,103"
"xTomatox","Diablo","False","48.0 %                                 Kills0.0 %                                 Teamwork (Takedowns)16.7 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)98.9 %                                 Siege53.0 %                                 XP69.7 %","1","0","1","1","00:00:05","28,883","60,878"," ","15,703","86,785","8,181"
"RedSonja13","Lúcio","False","41.7 %                                 Kills0.0 %                                 Teamwork (Takedowns)33.3 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege24.4 %                                 XP42.3 %","2","0","2","1","00:00:40","15,530","28,057","79,837","1,634","35,788","4,972"
"Dabuddha69","Sylvanas","False","40.8 %                                 Kills66.7 %                                 Teamwork (Takedowns)50.0 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)30.5 %                                 Siege50.1 %                                 XP47.5 %","3","2","1","2","00:01:30","30,078","57,588"," ","0","20,778","5,578"
"extioStorm","Medivh","False","35.9 %                                 Kills0.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)62.7 %                                 Siege62.7 %                                 XP39.9 %","3","0","3","2","00:01:24","51,931","72,050","13,759","0","35,095","4,691"
