"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"DioBrando","Artanis","True","80.4 %                                 Kills83.3 %                                 Teamwork (Takedowns)100.0 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)77.1 %                                 Siege65.0 %                                 XP82.0 %","14","5","9","1","00:00:32","32,393","84,301"," ","9,808","45,688","9,572"
"Enclosed","Li-Ming","True","62.6 %                                 Kills66.7 %                                 Teamwork (Takedowns)85.7 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)54.6 %                                 Siege45.3 %                                 XP48.3 %","12","4","8","1","00:00:50","43,663","58,773","1,016","1,959","15,556","5,632"
"LuckyOwl","Falstad","True","56.9 %                                 Kills100.0 %                                 Teamwork (Takedowns)78.6 %                                 Deaths25.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)43.6 %                                 Siege40.9 %                                 XP53.2 %","11","6","5","3","00:01:10","33,073","52,988"," ","7,461","27,301","6,209"
"hiei","Li Li","True","55.8 %                                 Kills0.0 %                                 Teamwork (Takedowns)71.4 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege20.0 %                                 XP43.1 %","10","0","10","0","00:00:00","19,861","25,984","63,850","0","30,252","5,030"
"Spartan","Zagara","False","47.9 %                                 Kills16.7 %                                 Teamwork (Takedowns)42.9 %                                 Deaths25.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)25.3 %                                 Siege77.6 %                                 XP100.0 %","6","1","5","3","00:01:20","22,289","100,607"," ","0","19,659","11,671"
"cerebralZ","Probius","True","39.4 %                                 Kills0.0 %                                 Teamwork (Takedowns)14.3 %                                 Deaths25.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)19.1 %                                 Siege100.0 %                                 XP78.2 %","2","0","2","3","00:01:56","16,207","129,669"," ","0","16,549","9,122"
"VFR2IMC","Nova","False","34.3 %                                 Kills66.7 %                                 Teamwork (Takedowns)57.1 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)30.6 %                                 Siege9.2 %                                 XP42.3 %","8","4","4","4","00:01:50","29,633","11,896"," ","0","21,109","4,933"
"LastSacred","Anub'arak","False","32.3 %                                 Kills16.7 %                                 Teamwork (Takedowns)35.7 %                                 Deaths25.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)47.3 %                                 Siege31.4 %                                 XP37.8 %","5","1","4","3","00:01:18","19,450","40,714","1,845","16,716","47,655","4,412"
"Siliton","Muradin","False","30.8 %                                 Kills16.7 %                                 Teamwork (Takedowns)35.7 %                                 Deaths25.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)58.8 %                                 Siege18.3 %                                 XP30.4 %","5","1","4","3","00:01:25","26,675","23,748","11,139","11,076","54,316","3,552"
"thyalmighty","Brightwing","False","29.4 %                                 Kills16.7 %                                 Teamwork (Takedowns)21.4 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)55.3 %                                 Siege12.4 %                                 XP20.6 %","3","1","2","2","00:01:02","8,568","16,077","42,353","0","24,261","2,408"
