"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"MysteryMeat","Azmodan","True","90.5 %                                 Kills70.0 %                                 Teamwork (Takedowns)92.3 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)80.8 %                                 Siege100.0 %                                 XP100.0 %","24","7","17","2","00:01:04","58,791","142,009","2,997","0","49,191","16,294"
"Will","Chromie","True","76.0 %                                 Kills60.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)60.0 %                                 Siege58.8 %                                 XP76.9 %","26","6","20","2","00:01:22","50,209","83,570"," ","0","27,901","12,526"
"Kymvros","The Butcher","True","74.4 %                                 Kills100.0 %                                 Teamwork (Takedowns)80.8 %                                 Deaths40.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)72.9 %                                 Siege76.6 %                                 XP76.3 %","21","10","11","5","00:02:39","50,006","108,714","194","16,348","56,912","12,430"
"ShadedWolf","Muradin","True","67.0 %                                 Kills20.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths80.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)92.8 %                                 Siege38.4 %                                 XP70.5 %","26","2","24","3","00:01:12","25,987","54,485","24,742","24,622","71,625","11,492"
"xDzero1","Li Li","True","62.7 %                                 Kills50.0 %                                 Teamwork (Takedowns)80.8 %                                 Deaths60.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege30.2 %                                 XP55.3 %","21","5","16","4","00:02:39","24,193","42,877","71,976","0","43,004","9,008"
"LastSacred","Anub'arak","False","48.6 %                                 Kills20.0 %                                 Teamwork (Takedowns)53.8 %                                 Deaths60.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)79.3 %                                 Siege19.3 %                                 XP58.8 %","14","2","12","4","00:03:10","37,514","27,408"," ","28,118","76,820","9,589"
"CarlWeathers","Jaina","False","47.1 %                                 Kills40.0 %                                 Teamwork (Takedowns)53.8 %                                 Deaths20.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)53.6 %                                 Siege55.3 %                                 XP59.6 %","14","4","10","6","00:03:49","51,699","78,462","829","0","28,804","9,718"
"INeedThis","Sgt. Hammer","False","45.5 %                                 Kills30.0 %                                 Teamwork (Takedowns)42.3 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)69.0 %                                 Siege74.7 %                                 XP56.9 %","11","3","8","7","00:04:26","61,498","106,066"," ","6,546","40,284","9,264"
"Xerx","Valla","False","44.5 %                                 Kills50.0 %                                 Teamwork (Takedowns)46.2 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)50.0 %                                 Siege53.9 %                                 XP66.9 %","12","5","7","7","00:04:38","46,953","76,536"," ","2,363","29,246","10,896"
"KaleTheAle","Rehgar","False","36.0 %                                 Kills20.0 %                                 Teamwork (Takedowns)50.0 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)71.4 %                                 Siege22.3 %                                 XP52.1 %","13","2","11","7","00:05:02","20,464","31,633","47,832","0","56,395","8,489"
