"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"Gnusounduave","Xul","True","85.7 %                                 Kills100.0 %                                 Teamwork (Takedowns)94.4 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)47.9 %                                 Siege97.1 %                                 XP100.0 %","17","7","10","3","00:02:02","54,975","131,167"," ","10,402","42,935","17,792"
"Geran","Hanzo","False","73.6 %                                 Kills57.1 %                                 Teamwork (Takedowns)55.6 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)52.0 %                                 Siege100.0 %                                 XP76.7 %","10","4","6","1","00:00:26","70,625","135,149"," ","0","16,027","13,648"
"xlzzz","Jaina","True","67.8 %                                 Kills57.1 %                                 Teamwork (Takedowns)94.4 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)40.3 %                                 Siege69.6 %                                 XP70.1 %","17","4","13","3","00:01:25","56,075","94,084"," ","3,243","23,169","12,474"
"LastSacred","Li Li","True","67.5 %                                 Kills28.6 %                                 Teamwork (Takedowns)94.4 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege15.8 %                                 XP66.3 %","17","2","15","1","00:01:05","43,909","21,416","67,096","15,946","39,528","11,791"
"realSTG","The Butcher","True","62.1 %                                 Kills100.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)37.1 %                                 Siege29.8 %                                 XP55.9 %","18","7","11","5","00:03:28","42,657","40,242"," ","8,654","51,948","9,946"
"Arder","Varian","False","56.7 %                                 Kills28.6 %                                 Teamwork (Takedowns)72.2 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)48.1 %                                 Siege45.1 %                                 XP71.5 %","13","2","11","3","00:02:39","28,297","60,934"," ","22,686","87,282","12,719"
"LORDOF42","Illidan","False","56.3 %                                 Kills71.4 %                                 Teamwork (Takedowns)66.7 %                                 Deaths37.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)33.7 %                                 Siege57.5 %                                 XP70.8 %","12","5","7","6","00:03:29","31,504","77,725"," ","14,553","60,167","12,595"
"Stochastic","Anub'arak","True","54.2 %                                 Kills14.3 %                                 Teamwork (Takedowns)88.9 %                                 Deaths75.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)43.8 %                                 Siege40.7 %                                 XP62.6 %","16","1","15","3","00:01:57","35,923","55,062"," ","20,461","49,498","11,144"
"Ciege","Brightwing","False","48.9 %                                 Kills0.0 %                                 Teamwork (Takedowns)55.6 %                                 Deaths87.5 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)62.6 %                                 Siege29.8 %                                 XP58.1 %","10","0","10","2","00:01:34","18,715","40,299","69,384","0","32,357","10,345"
"SnowFlake","Diablo","False","39.4 %                                 Kills57.1 %                                 Teamwork (Takedowns)66.7 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)35.5 %                                 Siege34.2 %                                 XP43.0 %","12","4","8","9","00:04:20","39,356","46,243"," ","10,151","86,231","7,642"
