"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"TylorLikesPi","Abathur","False","74.6 %                                 Kills57.1 %                                 Teamwork (Takedowns)100.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)61.2 %                                 Siege56.2 %                                 XP72.8 %","16","4","12","0","00:00:00","54,873","70,644","35,911","85"," ","12,326"
"Myth11","Fenix","True","72.9 %                                 Kills100.0 %                                 Teamwork (Takedowns)68.8 %                                 Deaths16.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)51.9 %                                 Siege100.0 %                                 XP100.0 %","11","7","4","5","00:03:06","65,729","125,804"," ","0","56,442","16,930"
"CallMeAKing","Azmodan","False","71.8 %                                 Kills57.1 %                                 Teamwork (Takedowns)87.5 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)61.9 %                                 Siege93.5 %                                 XP97.4 %","14","4","10","4","00:02:30","79,235","117,606"," ","0","50,822","16,482"
"Draken","Illidan","False","68.1 %                                 Kills100.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)67.9 %                                 Siege36.2 %                                 XP54.8 %","16","7","9","3","00:03:03","52,428","45,549"," ","23,264","75,040","9,272"
"LastSacred","Tracer","True","67.7 %                                 Kills100.0 %                                 Teamwork (Takedowns)87.5 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)52.1 %                                 Siege58.7 %                                 XP74.8 %","14","7","7","4","00:02:22","61,932","73,879"," ","5,537","39,199","12,666"
"Darkstar","Johanna","True","54.2 %                                 Kills14.3 %                                 Teamwork (Takedowns)50.0 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)61.1 %                                 Siege89.4 %                                 XP77.0 %","8","1","7","4","00:02:16","50,065","112,450","1,994","18,144","82,030","13,036"
"Aries","E.T.C.","True","53.6 %                                 Kills14.3 %                                 Teamwork (Takedowns)56.3 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege44.2 %                                 XP56.8 %","9","1","8","3","00:01:54","31,579","55,603","48,751","39,908","84,532","9,612"
"Faded","Muradin","False","53.5 %                                 Kills42.9 %                                 Teamwork (Takedowns)100.0 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)74.5 %                                 Siege17.4 %                                 XP53.1 %","16","3","13","4","00:03:26","53,550","21,867","17,546","17,432","88,057","8,984"
"GermanJamie","Brightwing","False","46.7 %                                 Kills14.3 %                                 Teamwork (Takedowns)93.8 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)80.5 %                                 Siege32.3 %                                 XP59.6 %","15","1","14","6","00:04:14","26,572","40,609","82,415","0","63,011","10,089"
"ArMaN","Li Li","True","46.6 %                                 Kills0.0 %                                 Teamwork (Takedowns)56.3 %                                 Deaths50.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)93.9 %                                 Siege21.5 %                                 XP58.0 %","9","0","9","3","00:01:50","28,761","27,022","94,634","0","47,985","9,814"
