"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"Blundershot","Artanis","True","81.7 %                                 Kills90.9 %                                 Teamwork (Takedowns)100.0 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)71.0 %                                 Siege59.3 %                                 XP85.5 %","20","10","10","3","00:02:25","76,219","105,450"," ","35,926","131,327","17,255"
"Imperfect","Li-Ming","True","80.1 %                                 Kills81.8 %                                 Teamwork (Takedowns)90.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)48.5 %                                 Siege83.7 %                                 XP76.4 %","18","9","9","2","00:01:10","93,321","148,817"," ","0","26,392","15,412"
"leov","Stitches","False","64.5 %                                 Kills18.2 %                                 Teamwork (Takedowns)75.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege40.4 %                                 XP53.2 %","15","2","13","2","00:02:10","78,668","71,849","40,198","40,119","121,256","10,737"
"DrLoverLover","Greymane","False","60.9 %                                 Kills100.0 %                                 Teamwork (Takedowns)80.0 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)36.6 %                                 Siege34.2 %                                 XP48.2 %","16","11","5","4","00:03:03","68,100","60,815"," ","0","49,148","9,726"
"Kambria","Lúcio","True","60.9 %                                 Kills18.2 %                                 Teamwork (Takedowns)95.0 %                                 Deaths83.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)86.8 %                                 Siege20.6 %                                 XP61.7 %","19","2","17","3","00:01:19","26,524","36,557","139,415","5,459","57,357","12,440"
"Spartan","Xul","True","60.7 %                                 Kills18.2 %                                 Teamwork (Takedowns)65.0 %                                 Deaths33.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)47.8 %                                 Siege100.0 %                                 XP100.0 %","13","2","11","6","00:03:56","70,702","177,869","5,882","15,561","76,812","20,174"
"LastSacred","Anub'arak","True","58.0 %                                 Kills18.2 %                                 Teamwork (Takedowns)75.0 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)67.5 %                                 Siege31.4 %                                 XP56.1 %","15","2","13","2","00:00:55","49,286","55,796"," ","42,382","112,994","11,314"
"Siliton","Zul'jin","False","44.4 %                                 Kills18.2 %                                 Teamwork (Takedowns)55.0 %                                 Deaths16.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)76.5 %                                 Siege49.5 %                                 XP50.7 %","11","2","9","7","00:05:00","96,053","87,996","31,639","31,506","61,511","10,234"
"Giano26","Deckard","False","43.9 %                                 Kills0.0 %                                 Teamwork (Takedowns)70.0 %                                 Deaths66.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)58.4 %                                 Siege17.7 %                                 XP50.9 %","14","0","14","4","00:03:34","28,142","31,534","88,607","0","46,324","10,261"
"VFR2IMC","Gazlowe","False","34.8 %                                 Kills9.1 %                                 Teamwork (Takedowns)40.0 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)40.2 %                                 Siege64.8 %                                 XP54.4 %","8","1","7","8","00:05:44","80,014","115,335"," ","0","66,143","10,984"
