"Player","Hero","Team","Score","TD","Kill","Assist","Death","Time Dead","Hero Dmg","Siege Dmg","Healing","Self Heal","Dmg Taken","XP"
"ANGER999","Thrall","True","69.4 %                                 Kills76.9 %                                 Teamwork (Takedowns)78.1 %                                 Deaths100.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)40.8 %                                 Siege46.3 %                                 XP73.9 %","25","10","15","0","00:00:00","59,347","106,457"," ","22,690","29,969","14,915"
"Kambria","Jaina","True","67.4 %                                 Kills100.0 %                                 Teamwork (Takedowns)100.0 %                                 Deaths76.9 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)30.7 %                                 Siege30.6 %                                 XP66.4 %","32","13","19","3","00:02:27","75,041","70,387"," ","0","27,224","13,415"
"Goon","Stitches","True","63.2 %                                 Kills30.8 %                                 Teamwork (Takedowns)78.1 %                                 Deaths84.6 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)100.0 %                                 Siege27.7 %                                 XP58.0 %","25","4","21","2","00:01:37","69,212","63,619","69,864","69,645","130,993","11,711"
"Andrew","Nazeebo","False","60.9 %                                 Kills15.4 %                                 Teamwork (Takedowns)31.3 %                                 Deaths84.6 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)34.3 %                                 Siege100.0 %                                 XP100.0 %","10","2","8","2","00:01:02","70,910","229,688"," ","0","46,260","20,189"
"Saabriel","Sgt. Hammer","True","53.7 %                                 Kills46.2 %                                 Teamwork (Takedowns)68.8 %                                 Deaths76.9 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)39.3 %                                 Siege42.6 %                                 XP48.3 %","22","6","16","3","00:02:33","85,779","97,801"," ","6,881","45,110","9,759"
"LastSacred","Li Li","False","48.3 %                                 Kills15.4 %                                 Teamwork (Takedowns)31.3 %                                 Deaths92.3 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)78.3 %                                 Siege16.2 %                                 XP56.4 %","10","2","8","1","00:00:36","33,818","37,267","122,057","0","58,839","11,381"
"Wrang","Deckard","True","40.9 %                                 Kills7.7 %                                 Teamwork (Takedowns)65.6 %                                 Deaths76.9 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)34.3 %                                 Siege19.4 %                                 XP41.6 %","21","1","20","3","00:02:39","16,487","44,513","65,473","0","36,319","8,390"
"HkendalU","Arthas","False","31.8 %                                 Kills15.4 %                                 Teamwork (Takedowns)21.9 %                                 Deaths46.2 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)27.6 %                                 Siege30.4 %                                 XP49.3 %","7","2","5","7","00:04:40","30,494","69,754","15,639","15,623","98,315","9,949"
"Omlettuce","Diablo","False","25.5 %                                 Kills23.1 %                                 Teamwork (Takedowns)28.1 %                                 Deaths7.7 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)31.3 %                                 Siege16.1 %                                 XP46.8 %","9","3","6","12","00:07:06","39,211","37,032","12,940","23,963","116,464","9,444"
"SouL","Tychus","False","22.4 %                                 Kills15.4 %                                 Teamwork (Takedowns)31.3 %                                 Deaths0.0 %                                 Role(Hero Dmg + Heal/Self Heal +Warrior Dmg Taken per Death)25.0 %                                 Siege28.1 %                                 XP34.8 %","10","2","8","13","00:07:56","63,823","64,627"," ","0","61,584","7,029"
